/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data of Cibiicidoides in piston core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951396, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.940 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	23074 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Cibicidoides spp. δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	Cibicidoides spp. δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	127.01	1120.20	1115.70000	1118.60000	1120.20000				3.42	0.2800
	127.03	1120.30	1115.90000	1118.70000	1120.30000				3.65	0.3500
	127.05	1120.50	1116.10000	1118.90000	1120.50000				3.54	0.4400
	127.07	1120.70	1116.20000	1119.00000	1120.70000				3.51	0.4900
	127.09	1120.90	1116.40000	1119.10000	1120.90000				3.64	0.3800
	127.11	1121.10	1116.60000	1119.30000	1121.10000				3.65	0.4100
	127.12	1121.10	1116.70000	1119.30000	1121.10000				3.54	0.2300
	127.14	1121.30	1116.90000	1119.50000	1121.30000				3.51	0.3800
	127.16	1121.50	1117.10000	1119.60000	1121.50000				3.69	0.2400
	127.18	1121.70	1117.20000	1119.70000	1121.70000				3.63	0.1700
	127.20	1121.90	1117.40000	1119.90000	1121.90000				3.61	0.3800
	127.22	1122.00	1117.60000	1120.00000	1122.00000				3.62	0.2700
	127.24	1122.20	1117.80000	1120.10000	1122.20000				3.63	0.3600
	127.26	1122.40	1117.90000	1120.30000	1122.40000				3.59	0.2700
	127.27	1122.50	1118.00000	1120.30000	1122.50000				3.56	0.3700
	127.29	1122.70	1118.20000	1120.50000	1122.70000				3.51	-0.0100
	127.31	1122.80	1118.40000	1120.60000	1122.80000				3.63	-0.0200
	127.33	1123.00	1118.50000	1120.70000	1123.00000				3.47	-0.1600
	127.35	1123.20	1118.70000	1120.90000	1123.20000				3.57	-0.5500
	127.36	1123.30	1118.90000	1120.90000	1123.30000				3.67	-0.4400
	127.38	1123.50	1119.10000	1121.10000	1123.50000				3.56	-0.3200
	127.40	1123.60	1119.20000	1121.20000	1123.60000				3.55	-0.3400
	127.42	1123.80	1119.40000	1121.30000	1123.80000				3.60	-0.3500
	127.44	1124.00	1119.60000	1121.50000	1124.00000				3.56	-0.4400
	127.46	1124.20	1119.70000	1121.60000	1124.20000				3.68	-0.4300
	127.48	1124.30	1119.90000	1121.70000	1124.30000				3.73	-0.4600
	127.50	1124.50	1120.10000	1121.90000	1124.50000				3.74	-0.4700
	127.53	1124.80	1120.40000	1122.10000	1124.80000				3.58	-0.3200
	127.56	1125.00	1120.60000	1122.30000	1125.00000				3.83	-0.4300
	127.59	1125.30	1120.90000	1122.50000	1125.30000				3.83	-0.4000
	127.61	1125.50	1121.10000	1122.60000	1125.50000				3.76	-0.4300
	127.64	1125.80	1121.40000	1122.80000	1125.80000				3.91	-0.4400
	127.67	1126.00	1121.60000	1123.00000	1126.00000				4.04	-0.3200
	127.70	1126.30	1121.80000	1123.20000	1126.30000				4.13	-0.1700
	127.72	1126.50	1122.10000	1123.30000	1126.50000				4.11	-0.1100
	127.75	1126.70	1122.30000	1123.50000	1126.70000				4.20	0.2300
	127.78	1127.00	1122.60000	1123.70000	1127.00000				4.22	0.0600
	127.81	1127.30	1122.80000	1123.90000	1127.30000				4.23	0.0100
	127.83	1127.40	1123.10000	1124.10000	1127.40000				4.19	-0.1300
	127.86	1127.70	1123.30000	1124.30000	1127.70000				4.19	-0.0200
	127.89	1128.00	1123.60000	1124.50000	1128.00000				4.17	0.0400
	127.92	1128.20	1123.80000	1124.70000	1128.20000				4.14	0.3100
	127.94	1128.40	1124.10000	1124.80000	1128.40000				4.03	-0.1200
	127.97	1128.70	1124.30000	1125.00000	1128.70000				4.04	-0.0500
	128.00	1128.90	1124.60000	1125.20000	1128.90000				4.03	-0.1100
	128.03	1129.20	1124.80000	1125.40000	1129.20000				4.04	-0.0600
	128.05	1129.40	1125.00000	1125.50000	1129.40000				4.06	0.1500
	128.08	1129.70	1125.30000	1125.70000	1129.70000				3.93	-0.1200
	128.11	1129.90	1125.60000	1125.90000	1129.90000				4.02	-0.0400
	128.13	1130.10	1125.70000	1126.10000	1130.10000				3.95	-0.1000
	128.14	1130.20	1125.90000	1126.10000	1130.20000				3.93	-0.1800
	128.16	1130.40	1126.00000	1126.30000	1130.40000				4.00	-0.0300
	128.18	1130.50	1126.20000	1126.40000	1130.50000				3.95	-0.0400
	128.20	1130.70	1126.30000	1126.50000	1130.70000				4.13	0.2600
	128.21	1130.80	1126.50000	1126.60000	1130.80000				4.05	-0.2800
	128.23	1131.00	1126.60000	1126.70000	1131.00000				3.94	-0.1300
	128.25	1131.20	1126.80000	1126.90000	1131.20000				4.02	0.2300
	128.27	1131.30	1126.90000	1127.00000	1131.30000				3.96	0.0400
	128.28	1131.40	1127.10000	1127.10000	1131.40000				4.07	0.4200
	128.30	1131.60	1127.20000	1127.20000	1131.60000				3.98	0.2000
	128.32	1131.80	1127.40000	1127.30000	1131.80000				3.99	0.3800
	128.33	1131.90	1127.60000	1127.40000	1131.90000				4.07	0.4600
	128.35	1132.00	1127.70000	1127.50000	1132.00000				3.79	0.0700
	128.37	1132.20	1127.90000	1127.70000	1132.20000				3.80	0.3100
	128.39	1132.40	1128.00000	1127.80000	1132.40000				3.72	0.3500
	128.40	1132.50	1128.20000	1127.90000	1132.50000				3.94	0.2900
	128.42	1132.70	1128.30000	1128.00000	1132.70000				3.87	0.0900
	128.44	1132.80	1128.50000	1128.10000	1132.80000				3.78	0.2300
	128.45	1132.90	1128.60000	1128.20000	1132.90000				3.87	0.1100
	128.47	1133.10	1128.80000	1128.30000	1133.10000				3.80	0.0800
	128.49	1133.30	1128.90000	1128.50000	1133.30000				3.77	0.3700
	128.51	1133.50	1129.10000	1128.60000	1133.50000				3.96	0.2000
	128.52	1133.60	1129.30000	1128.70000	1133.60000				3.90	0.4400
	128.54	1133.70	1129.40000	1128.80000	1133.70000				3.91	0.2200
	128.56	1133.90	1129.60000	1128.90000	1133.90000				3.88	0.4500
	128.58	1134.10	1129.70000	1129.10000	1134.10000				3.95	0.3300
	128.59	1134.20	1129.90000	1129.10000	1134.20000				3.80	0.5100
	128.61	1134.40	1130.00000	1129.30000	1134.40000				3.74	0.6500
	128.63	1134.50	1130.20000	1129.40000	1134.50000				3.95	0.4800
	128.64	1134.60	1130.30000	1129.50000	1134.60000				3.75	0.4800
	128.66	1134.80	1130.50000	1129.60000	1134.80000				3.73	0.5000
	128.68	1135.00	1130.70000	1129.70000	1135.00000				3.60	0.5000
	128.70	1135.10	1130.80000	1129.90000	1135.10000				3.73	0.4500
	128.73	1135.40	1131.10000	1130.10000	1135.40000				3.63	0.3000
	128.75	1135.60	1131.30000	1130.20000	1135.60000				3.74	0.5200
	128.76	1135.70	1131.40000	1130.30000	1135.70000				3.59	0.3200
	128.78	1135.90	1131.60000	1130.40000	1135.90000				3.62	0.1700
	128.80	1136.00	1131.70000	1130.50000	1136.00000				3.63	0.0600
	128.82	1136.20	1131.90000	1130.70000	1136.20000				3.64	0.0700
	128.83	1136.30	1132.00000	1130.70000	1136.30000				3.70	0.4200
	128.85	1136.50	1132.20000	1130.90000	1136.50000				3.59	0.0300
	128.87	1136.70	1132.30000	1131.00000	1136.70000				3.54	0.1100
	128.89	1136.80	1132.50000	1131.10000	1136.80000				3.57	0.0500
	128.90	1136.90	1132.70000	1131.20000	1136.90000				3.55	0.0700
	128.92	1137.10	1132.80000	1131.30000	1137.10000				3.63	0.0900
	128.94	1137.30	1133.00000	1131.50000	1137.30000				3.74	0.5300
	128.96	1137.50	1133.20000	1131.60000	1137.50000				3.79	0.3700
	128.98	1137.60	1133.40000	1131.70000	1137.60000				3.79	0.3800
	129.00	1137.80	1133.60000	1131.90000	1137.80000				3.73	0.5400
	129.02	1138.00	1133.70000	1132.00000	1138.00000				3.68	0.4400
	129.05	1138.30	1133.90000	1132.20000	1138.30000				3.62	0.4100
	129.07	1138.40	1134.10000	1132.30000	1138.40000				3.62	0.2700
	129.09	1138.60	1134.30000	1132.50000	1138.60000				3.68	0.4600
	129.11	1138.80	1134.50000	1132.60000	1138.80000				3.47	0.5100
	129.13	1139.00	1134.70000	1132.70000	1139.00000				3.55	0.4300
	129.15	1139.10	1134.90000	1132.90000	1139.10000				3.61	0.5700
	129.17	1139.30	1135.10000	1133.00000	1139.30000				3.61	0.3400
	129.19	1139.50	1135.20000	1133.10000	1139.50000				3.49	0.6200
	129.21	1139.70	1135.40000	1133.30000	1139.70000				3.74	0.5500
	129.23	1139.80	1135.60000	1133.40000	1139.80000				3.74	0.5700
	129.25	1140.00	1135.80000	1133.50000	1140.00000				3.67	0.3600
	129.28	1140.30	1136.00000	1133.70000	1140.30000				3.26	0.6300
	129.30	1140.50	1136.20000	1133.90000	1140.50000				3.46	0.5900
	129.32	1140.60	1136.40000	1134.00000	1140.60000				3.48	0.6100
	129.34	1140.80	1136.60000	1134.20000	1140.80000				3.53	0.6600
	129.36	1141.00	1136.70000	1134.40000	1141.00000				3.53	0.5200
	129.38	1141.20	1136.90000	1134.60000	1141.20000				3.23	0.6300
	129.40	1141.40	1137.10000	1134.80000	1141.40000				3.42	0.6900
	129.42	1141.50	1137.30000	1135.00000	1141.50000				3.28	0.4400
	129.44	1141.70	1137.50000	1135.20000	1141.70000				3.35	0.3800
	129.46	1141.90	1137.70000	1135.40000	1141.90000				3.19	0.4100
	129.48	1142.10	1137.80000	1135.60000	1142.10000				3.14	0.1500
	129.50	1142.20	1138.00000	1135.80000	1142.20000				3.16	0.1200
	129.52	1142.40	1138.10000	1136.00000	1142.40000				3.27	0.0300
	129.54	1142.60	1138.30000	1136.20000	1142.60000				3.29	-0.1400
	129.56	1142.80	1138.50000	1136.30000	1142.80000				3.45	0.1200
	129.58	1142.90	1138.70000	1136.50000	1142.90000				3.32	0.1300
	129.65	1143.60	1139.30000	1137.20000	1143.60000				3.68	0.6100
	129.67	1143.70	1139.50000	1137.40000	1143.70000				3.83	0.7200
	129.68	1143.80	1139.70000	1137.50000	1143.80000				3.48	0.6100
	129.70	1144.00	1139.80000	1137.70000	1144.00000				3.43	0.5600
	129.72	1144.20	1140.00000	1137.90000	1144.20000				3.38	0.6900
	129.74	1144.40	1140.10000	1138.10000	1144.40000				3.64	0.2100
	129.76	1144.50	1140.30000	1138.30000	1144.50000				3.49	0.4300
	129.77	1144.60	1140.40000	1138.40000	1144.60000				3.31	0.7400
	129.79	1144.80	1140.60000	1138.60000	1144.80000				3.49	0.6200
	129.81	1145.00	1140.80000	1138.80000	1145.00000				3.41	0.7000
	129.83	1145.20	1140.90000	1139.00000	1145.20000				3.48	0.5900
	129.84	1145.30	1141.10000	1139.10000	1145.30000				3.36	0.6800
	129.88	1145.60	1141.40000	1139.50000	1145.60000				3.29	0.6000
	129.90	1145.80	1141.60000	1139.70000	1145.80000				2.98	0.4100
	129.92	1146.00	1141.70000	1139.90000	1146.00000				3.09	0.6400
	129.93	1146.10	1141.90000	1140.00000	1146.10000				3.13	0.5600
	129.95	1146.20	1142.00000	1140.20000	1146.20000				3.23	0.6700
	129.97	1146.40	1142.20000	1140.40000	1146.40000				3.20	0.6200
	129.99	1146.60	1142.40000	1140.60000	1146.60000				3.17	0.6000
	130.00	1146.70	1142.50000	1140.70000	1146.70000				3.12	0.5100
	130.04	1147.00	1142.80000	1141.00000	1147.00000				3.14	0.1000
	130.06	1147.20	1143.00000	1141.20000	1147.20000				3.11	0.3200
	130.08	1147.40	1143.20000	1141.40000	1147.40000				3.09	0.3600
	130.09	1147.50	1143.30000	1141.50000	1147.50000				3.16	0.1700
	130.11	1147.60	1143.50000	1141.70000	1147.60000				3.23	0.0000
	130.13	1147.80	1143.60000	1141.90000	1147.80000				3.41	0.2000
	130.15	1148.00	1143.80000	1142.10000	1148.00000				3.30	0.1500
	130.16	1148.10	1143.90000	1142.20000	1148.10000				3.41	0.3200
	130.21	1148.50	1144.40000	1142.70000	1148.50000				3.48	0.3600
	130.23	1148.70	1144.50000	1142.90000	1148.70000				3.48	0.7000
	130.24	1148.80	1144.60000	1143.00000	1148.80000				3.45	0.6400
	130.25	1148.90	1144.70000	1143.10000	1148.90000				3.42	0.5500
	130.26	1149.00	1144.80000	1143.20000	1149.00000				3.41	0.5100
	130.28	1149.20	1145.00000	1143.40000	1149.20000				3.38	0.5900
	130.29	1149.20	1145.10000	1143.50000	1149.20000				3.37	0.7800
	130.30	1149.30	1145.20000	1143.60000	1149.30000				3.42	0.7800
	130.32	1149.50	1145.30000	1143.80000	1149.50000				3.37	0.7400
	130.33	1149.60	1145.40000	1143.90000	1149.60000				3.42	0.9700
	130.34	1149.70	1145.50000	1144.00000	1149.70000				3.42	0.6400
	130.35	1149.80	1145.70000	1144.10000	1149.80000				3.33	0.7000
	130.37	1150.00	1145.80000	1144.30000	1150.00000				3.35	0.9200
	130.38	1150.00	1145.90000	1144.40000	1150.00000				3.38	0.8800
	130.39	1150.10	1146.00000	1144.50000	1150.10000				3.20	0.6500
	130.41	1150.30	1146.10000	1144.70000	1150.30000				3.28	0.8200
	130.42	1150.40	1146.20000	1144.80000	1150.40000				3.12	0.9400
	130.43	1150.50	1146.30000	1144.90000	1150.50000				3.20	0.9700
	130.44	1150.60	1146.50000	1145.00000	1150.60000				3.10	0.8200
	130.46	1150.70	1146.60000	1145.20000	1150.70000				3.11	0.8500
	130.47	1150.80	1146.70000	1145.30000	1150.80000				3.08	0.8000
	130.48	1150.90	1146.80000	1145.40000	1150.90000				3.22	0.7800
	130.50	1151.10	1146.90000	1145.60000	1151.10000				3.13	0.7200
	130.51	1151.20	1147.00000	1145.70000	1151.20000				3.30	0.9500
	130.52	1151.30	1147.20000	1145.70000	1151.30000				3.28	0.8100
	130.54	1151.50	1147.30000	1145.90000	1151.50000				3.26	0.9200
	130.55	1151.50	1147.40000	1146.00000	1151.50000				3.08	0.8100
	130.56	1151.60	1147.50000	1146.10000	1151.60000				3.20	0.7500
	130.57	1151.70	1147.60000	1146.20000	1151.70000				3.39	0.6600
	130.61	1152.10	1148.00000	1146.60000	1152.10000				3.58	0.9700
	130.64	1152.30	1148.20000	1146.90000	1152.30000				3.22	0.6000
	130.65	1152.40	1148.30000	1147.00000	1152.40000				3.06	0.8500
	130.66	1152.50	1148.40000	1147.10000	1152.50000				3.12	0.6100
	130.68	1152.70	1148.60000	1147.30000	1152.70000				3.07	0.4900
	130.68	1152.70	1148.60000	1147.30000	1152.70000				3.16	0.5000
	130.70	1152.90	1148.70000	1147.50000	1152.90000				3.27	0.5400
	130.71	1153.00	1148.80000	1147.60000	1153.00000				3.13	0.5400
	130.72	1153.10	1148.90000	1147.70000	1153.10000				3.25	0.4300
	130.73	1153.10	1149.10000	1147.80000	1153.10000				3.30	0.5300
	130.75	1153.30	1149.20000	1148.00000	1153.30000				2.96	0.1700
	130.76	1153.40	1149.30000	1148.10000	1153.40000				2.99	0.2800
	130.77	1153.50	1149.40000	1148.20000	1153.50000				3.23	0.5000
	130.79	1153.70	1149.60000	1148.40000	1153.70000				3.32	0.8000
	130.81	1153.80	1149.70000	1148.60000	1153.80000				3.23	0.8700
	130.83	1154.00	1149.90000	1148.80000	1154.00000				3.07	0.4500
	130.85	1154.20	1150.10000	1149.00000	1154.20000				3.42	0.9100
	130.87	1154.40	1150.20000	1149.20000	1154.40000				3.22	0.8500
	130.88	1154.50	1150.40000	1149.30000	1154.50000				3.36	0.8500
	130.90	1154.60	1150.60000	1149.50000	1154.60000				3.21	0.7900
	130.92	1154.80	1150.70000	1149.70000	1154.80000				3.35	0.7100
	130.94	1155.00	1150.90000	1149.90000	1155.00000				3.27	0.7700
	130.96	1155.20	1151.10000	1150.10000	1155.20000				3.23	0.7300
	130.98	1155.40	1151.20000	1150.30000	1155.40000				3.33	0.9200
	131.00	1155.50	1151.40000	1150.40000	1155.50000				3.21	0.7100
	131.02	1155.70	1151.60000	1150.60000	1155.70000				3.13	0.8600
	131.04	1155.90	1151.80000	1150.80000	1155.90000				3.13	0.9100
	131.05	1156.00	1151.90000	1150.90000	1156.00000				3.18	0.9500
	131.07	1156.20	1152.10000	1151.10000	1156.20000				3.24	0.8900
	131.11	1156.50	1152.40000	1151.50000	1156.50000				3.22	0.8900
	131.13	1156.70	1152.60000	1151.70000	1156.70000				3.22	0.8900
	131.17	1157.00	1152.90000	1152.10000	1157.00000				3.20	1.0700
	131.19	1157.20	1153.10000	1152.30000	1157.20000				3.22	1.0700
	131.21	1157.40	1153.30000	1152.50000	1157.40000				3.16	0.9100
	131.22	1157.50	1153.40000	1152.60000	1157.50000				3.24	0.8800
	131.24	1157.70	1153.60000	1152.80000	1157.70000				3.27	0.9400
	131.28	1158.00	1153.90000	1153.20000	1158.00000				3.28	0.9600
	131.30	1158.20	1154.10000	1153.40000	1158.20000				3.19	1.0500
	131.32	1158.40	1154.30000	1153.60000	1158.40000				3.14	0.8700
	131.34	1158.50	1154.50000	1153.80000	1158.50000				3.22	0.9300
	131.36	1158.70	1154.60000	1154.00000	1158.70000				3.03	0.9000
	131.38	1158.90	1154.80000	1154.20000	1158.90000				3.19	1.0800
	131.41	1159.20	1155.10000	1154.50000	1159.20000				3.20	1.0100
	131.43	1159.30	1155.30000	1154.70000	1159.30000				3.00	1.0100
	131.45	1159.50	1155.50000	1154.90000	1159.50000				3.06	0.7400
	131.47	1159.70	1155.60000	1155.00000	1159.70000				3.19	0.9800
	131.49	1159.90	1155.80000	1155.20000	1159.90000				2.95	0.9400
	131.51	1160.10	1156.00000	1155.40000	1160.10000				3.11	0.9900
	131.53	1160.20	1156.20000	1155.60000	1160.20000				3.02	0.9300
	131.55	1160.40	1156.30000	1155.80000	1160.40000				2.95	0.9200
	131.56	1160.50	1156.50000	1155.90000	1160.50000				3.01	1.0100
	131.60	1160.90	1156.80000	1156.30000	1160.90000				3.21	0.9600
	131.64	1161.20	1157.20000	1156.70000	1161.20000				3.06	1.1200
	131.66	1161.40	1157.30000	1156.90000	1161.40000				2.98	0.9600
	131.78	1162.40	1158.40000	1158.10000	1162.40000				2.97	0.9900
	131.80	1162.60	1158.60000	1158.30000	1162.60000				2.91	1.0900
	131.82	1162.80	1158.80000	1158.50000	1162.80000				3.00	1.0800
	131.84	1163.00	1159.00000	1158.70000	1163.00000				2.97	0.9200
	131.86	1163.20	1159.10000	1158.90000	1163.20000				3.02	1.0600
	131.88	1163.30	1159.30000	1159.10000	1163.30000				3.03	1.0500
	131.92	1163.70	1159.70000	1159.50000	1163.70000				2.89	1.0800
	131.94	1163.90	1159.80000	1159.70000	1163.90000				2.88	0.9300
	131.96	1164.00	1160.00000	1159.80000	1164.00000				3.10	1.0400
	131.98	1164.20	1160.20000	1160.00000	1164.20000				3.03	1.0100
	132.00	1164.40	1160.40000	1160.20000	1164.40000				2.95	1.0300
	132.02	1164.60	1160.60000	1160.40000	1164.60000				3.00	1.0700
	132.04	1164.80	1160.80000	1160.60000	1164.80000				2.94	0.9400
	132.06	1164.90	1160.90000	1160.80000	1164.90000				3.01	0.9600
	132.08	1165.10	1161.10000	1161.00000	1165.10000				3.07	1.0300
	132.10	1165.30	1161.30000	1161.20000	1165.30000				3.08	1.1500
	132.12	1165.50	1161.50000	1161.40000	1165.50000				3.03	1.0300
	132.14	1165.60	1161.60000	1161.60000	1165.60000				2.89	1.0700
	132.16	1165.80	1161.80000	1161.80000	1165.80000				2.98	1.1600
	132.18	1166.00	1162.00000	1162.00000	1166.00000				3.07	1.0300
	132.20	1166.20	1162.20000	1162.20000	1166.20000				3.09	1.0900
	132.22	1166.30	1162.40000	1162.40000	1166.30000				3.11	0.9500
	132.24	1166.50	1162.60000	1162.60000	1166.50000				3.10	0.9800
	132.26	1166.70	1162.80000	1162.80000	1166.70000				2.94	0.7600
	132.28	1166.90	1163.00000	1163.00000	1166.90000				3.12	1.0100
	132.30	1167.00	1163.20000	1163.20000	1167.10000				3.01	0.8300
	132.32	1167.20	1163.30000	1163.30000	1167.30000				3.04	1.1300
	132.34	1167.30	1163.50000	1163.50000	1167.40000				2.97	0.8900
	132.38	1167.60	1163.90000	1163.90000	1167.80000				2.99	0.8400
	132.40	1167.80	1164.10000	1164.10000	1168.00000				3.01	0.9900
	132.42	1167.90	1164.30000	1164.30000	1168.20000				2.88	0.7600
	132.44	1168.10	1164.50000	1164.50000	1168.40000				3.10	0.9400
	132.46	1168.20	1164.70000	1164.70000	1168.50000				2.93	0.9400
	132.48	1168.40	1164.90000	1164.90000	1168.70000				2.71	0.7900
	132.50	1168.50	1165.10000	1165.10000	1168.90000				2.75	0.8400
	132.52	1168.70	1165.30000	1165.30000	1169.10000				2.77	0.9100
	132.54	1168.80	1165.50000	1165.50000	1169.30000				3.00	0.8900
	132.56	1169.00	1165.70000	1165.70000	1169.50000				2.75	0.7800
	132.60	1169.30	1166.00000	1166.00000	1169.80000				2.74	0.9500
	132.64	1169.60	1166.40000	1166.40000	1170.20000				2.88	0.9200
	132.66	1169.70	1166.60000	1166.60000	1170.40000				2.92	0.9800
	132.68	1169.90	1166.80000	1166.80000	1170.60000				2.95	0.9900
	132.70	1170.00	1167.00000	1167.00000	1170.80000				2.84	1.0100
	132.72	1170.20	1167.20000	1167.20000	1170.90000				2.96	0.8500
	132.74	1170.30	1167.40000	1167.40000	1171.10000				2.83	0.9300
	132.76	1170.50	1167.60000	1167.60000	1171.30000				2.84	0.8900
	132.78	1170.60	1167.80000	1167.80000	1171.50000				2.96	0.8100
	132.80	1170.80	1168.00000	1168.00000	1171.70000				2.76	0.9400
	132.82	1170.90	1168.20000	1168.20000	1171.90000				2.93	0.9800
	132.84	1171.10	1168.30000	1168.30000	1172.00000				2.86	0.8500
	132.86	1171.20	1168.50000	1168.50000	1172.20000				2.80	0.6600
	132.88	1171.40	1168.70000	1168.70000	1172.40000				3.04	0.9800
	132.90	1171.50	1168.90000	1168.90000	1172.60000				2.96	0.9700
	132.92	1171.70	1169.10000	1169.10000	1172.80000				2.96	1.0100
	132.94	1171.80	1169.30000	1169.30000	1173.00000				2.88	0.8200
	132.96	1172.00	1169.50000	1169.50000	1173.10000				3.01	1.0300
	132.98	1172.10	1169.70000	1169.70000	1173.30000				3.01	0.9200
