/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
	140.27	1239.60	1235.10000	1236.20000	1243.30000				0.37	-0.72
	140.28	1239.70	1235.20000	1236.30000	1243.40000				0.39	-0.78
	140.29	1239.70	1235.30000	1236.40000	1243.40000				0.51	-0.81
	140.30	1239.80	1235.40000	1236.60000	1243.50000				0.29	-0.84
	140.31	1239.80	1235.50000	1236.70000	1243.60000				0.56	-0.78
	140.32	1239.90	1235.70000	1236.80000	1243.60000				0.50	-0.90
	140.33	1239.90	1235.80000	1236.90000	1243.70000				0.44	-0.90
	140.34	1240.00	1235.90000	1237.00000	1243.80000				0.34	-0.74
	140.35	1240.00	1236.00000	1237.10000	1243.80000				0.58	-0.72
	140.36	1240.10	1236.10000	1237.30000	1243.90000				0.48	-0.85
	140.37	1240.10	1236.20000	1237.40000	1243.90000				0.57	-0.73
	140.38	1240.20	1236.30000	1237.50000	1244.00000				0.42	-0.87
	140.39	1240.20	1236.40000	1237.60000	1244.10000				0.50	-0.90
	140.40	1240.30	1236.50000	1237.70000	1244.10000				0.50	-0.86
	140.41	1240.30	1236.60000	1237.80000	1244.20000				0.31	-0.99
	140.42	1240.40	1236.80000	1238.00000	1244.30000				0.65	-0.71
	140.43	1240.40	1236.90000	1238.10000	1244.30000				0.53	-0.82
	140.44	1240.50	1237.00000	1238.20000	1244.40000				0.46	-0.81
	140.45	1240.50	1237.10000	1238.30000	1244.40000				0.58	-0.74
	140.46	1240.60	1237.20000	1238.40000	1244.50000				0.54	-0.95
	140.47	1240.60	1237.30000	1238.50000	1244.60000				0.56	-0.81
	140.48	1240.70	1237.40000	1238.70000	1244.60000				0.43	-0.93
	140.49	1240.70	1237.50000	1238.80000	1244.70000				0.57	-0.65
	140.49	1240.70	1237.50000	1238.80000	1244.70000				0.36	-0.82
	140.50	1240.80	1237.60000	1238.90000	1244.80000				0.34	-0.87
	140.51	1240.80	1237.70000	1239.00000	1245.00000				0.32	-1.07
	140.52	1240.90	1237.90000	1239.10000	1245.10000				0.45	-0.91
	140.53	1240.90	1238.00000	1239.20000	1245.20000				0.42	-0.99
	140.54	1241.00	1238.10000	1239.40000	1245.30000				0.22	-1.06
	140.55	1241.10	1238.20000	1239.50000	1245.50000				0.31	-1.02
	140.56	1241.30	1238.30000	1239.60000	1245.60000				0.52	-0.95
	140.57	1241.40	1238.40000	1239.70000	1245.70000				0.54	-1.01
	140.58	1241.50	1238.50000	1239.80000	1245.80000				0.61	-0.75
	140.59	1241.70	1238.60000	1239.90000	1246.00000				0.47	-0.97
	140.60	1241.80	1238.70000	1240.10000	1246.10000				0.50	-0.88
	140.61	1241.90	1238.80000	1240.20000	1246.20000				0.43	-0.98
	140.62	1242.10	1239.00000	1240.30000	1246.30000				0.35	-1.31
	140.63	1242.20	1239.10000	1240.40000	1246.50000				0.31	-1.19
	140.64	1242.30	1239.20000	1240.50000	1246.60000				0.51	-0.82
	140.65	1242.50	1239.30000	1240.60000	1246.70000				0.41	-1.10
	140.66	1242.60	1239.40000	1240.80000	1246.80000				0.55	-1.04
	140.67	1242.70	1239.50000	1240.90000	1247.00000				0.79	-0.88
	140.68	1242.90	1239.60000	1241.00000	1247.10000				0.60	-1.31
	140.69	1243.00	1239.70000	1241.10000	1247.20000				0.41	-1.21
	140.70	1243.10	1239.80000	1241.20000	1247.30000				0.32	-1.17
	140.71	1243.30	1239.90000	1241.30000	1247.50000				0.71	-1.10
	140.72	1243.40	1240.10000	1241.50000	1247.60000				0.39	-1.34
	140.73	1243.50	1240.20000	1241.60000	1247.70000				0.31	-1.30
	140.74	1243.70	1240.30000	1241.70000	1247.90000				0.28	-1.18
	140.75	1243.80	1240.40000	1241.80000	1248.00000				0.33	-1.34
	140.76	1243.90	1240.50000	1241.90000	1248.10000				0.33	-1.60
	140.77	1244.00	1240.60000	1242.00000	1248.20000				0.45	-1.31
	140.78	1244.20	1240.70000	1242.20000	1248.40000				0.86	-0.89
	140.79	1244.30	1240.80000	1242.30000	1248.50000				1.13	-0.59
	140.79	1244.30	1240.80000	1242.30000	1248.50000				1.09	-0.68
	140.80	1244.40	1240.90000	1242.40000	1248.60000				0.48	-1.50
	140.81	1244.60	1241.00000	1242.50000	1248.70000				0.34	-1.19
	140.82	1244.70	1241.20000	1242.60000	1248.90000				0.44	-1.22
	140.83	1244.80	1241.30000	1242.70000	1249.00000				0.51	-1.26
	140.84	1245.00	1241.40000	1242.90000	1249.10000				0.65	-1.38
	140.85	1245.10	1241.50000	1243.00000	1249.20000				0.45	-1.46
	140.86	1245.20	1241.60000	1243.10000	1249.40000				0.98	-1.01
	140.87	1245.40	1241.70000	1243.20000	1249.50000				1.05	-0.99
	140.88	1245.50	1241.80000	1243.30000	1249.60000				0.72	-1.23
	140.89	1245.60	1241.90000	1243.40000	1249.70000				0.94	-1.00
	140.90	1245.80	1242.00000	1243.60000	1249.90000				1.04	-0.83
	140.91	1245.90	1242.10000	1243.70000	1250.00000				1.28	-0.80
	140.92	1246.00	1242.30000	1243.80000	1250.10000				0.77	-1.24
	140.93	1246.20	1242.40000	1243.90000	1250.30000				1.30	-1.04
	140.94	1246.30	1242.50000	1244.00000	1250.40000				1.43	-0.92
	140.95	1246.40	1242.60000	1244.10000	1250.50000				1.51	-0.92
	140.96	1246.60	1242.70000	1244.20000	1250.60000				1.36	-1.00
	140.97	1246.70	1242.80000	1244.40000	1250.80000				1.48	-1.03
	140.98	1246.80	1242.90000	1244.50000	1250.90000				1.55	-1.26
	140.99	1247.00	1243.00000	1244.60000	1251.00000				1.73	-0.93
	141.00	1247.10	1243.10000	1244.70000	1251.10000				1.89	-1.18
	141.01	1247.20	1243.20000	1244.80000	1251.30000				1.69	-1.09
	141.02	1247.40	1243.40000	1244.90000	1251.40000				1.31	-1.24
	141.03	1247.50	1243.50000	1245.00000	1251.50000				1.25	-1.39
	141.04	1247.60	1243.60000	1245.10000	1251.60000				1.20	-1.46
	141.05	1247.80	1243.70000	1245.20000	1251.80000				1.41	-1.58
	141.06	1247.90	1243.80000	1245.40000	1251.90000				1.53	-1.31
	141.07	1248.00	1243.90000	1245.50000	1252.00000				1.56	-1.46
	141.08	1248.20	1244.00000	1245.60000	1252.10000				1.75	-1.26
	141.09	1248.30	1244.10000	1245.70000	1252.30000				1.87	-1.22
	141.10	1248.40	1244.20000	1245.80000	1252.40000				1.91	-1.22
	141.11	1248.60	1244.30000	1245.90000	1252.50000				1.94	-1.02
	141.12	1248.70	1244.40000	1246.00000	1252.60000				1.53	-1.41
	141.13	1248.80	1244.50000	1246.10000	1252.80000				1.30	-1.54
	141.14	1249.00	1244.60000	1246.20000	1252.90000				1.44	-1.32
	141.15	1249.10	1244.70000	1246.30000	1253.00000				1.55	-1.31
	141.16	1249.20	1244.80000	1246.50000	1253.20000				1.60	-1.28
	141.17	1249.40	1244.90000	1246.60000	1253.30000				1.27	-1.54
	141.18	1249.50	1245.00000	1246.70000	1253.40000				1.22	-1.35
	141.19	1249.60	1245.10000	1246.80000	1253.50000				1.56	-1.30
	141.20	1249.70	1245.20000	1246.90000	1253.70000				1.40	-1.35
	141.21	1249.90	1245.30000	1247.00000	1253.80000				1.27	-1.52
	141.22	1250.00	1245.50000	1247.10000	1253.90000				1.34	-1.09
	141.23	1250.10	1245.60000	1247.20000	1254.00000				1.33	-1.43
	141.24	1250.30	1245.70000	1247.30000	1254.20000				1.31	-1.47
	141.25	1250.40	1245.80000	1247.50000	1254.30000				1.43	-1.18
	141.26	1250.50	1245.90000	1247.60000	1254.40000				1.56	-1.35
	141.27	1250.70	1246.00000	1247.70000	1254.50000				1.43	-1.28
	141.28	1250.80	1246.10000	1247.80000	1254.70000				1.67	-1.14
	141.29	1250.90	1246.20000	1247.90000	1254.80000				1.29	-1.35
	141.30	1251.10	1246.30000	1248.00000	1254.90000				1.28	-1.33
	141.31	1251.20	1246.40000	1248.10000	1255.00000				1.17	-1.53
	141.32	1251.30	1246.50000	1248.20000	1255.20000				1.33	-1.28
	141.33	1251.50	1246.60000	1248.30000	1255.30000				1.44	-1.62
	141.34	1251.60	1246.70000	1248.50000	1255.40000				1.29	-1.49
	141.35	1251.70	1246.80000	1248.60000	1255.50000				1.39	-1.37
	141.36	1251.90	1246.90000	1248.70000	1255.70000				1.29	-1.29
	141.37	1252.00	1247.00000	1248.80000	1255.80000				1.61	-1.34
	141.38	1252.10	1247.10000	1248.90000	1255.90000				1.49	-1.31
	141.39	1252.30	1247.20000	1249.00000	1256.10000				1.94	-1.33
	141.40	1252.40	1247.30000	1249.10000	1256.20000				2.06	-1.29
	141.41	1252.50	1247.40000	1249.20000	1256.30000				1.93	-1.63
	141.42	1252.70	1247.50000	1249.30000	1256.40000				2.11	-1.27
	141.43	1252.80	1247.60000	1249.50000	1256.60000				2.42	-1.06
	141.44	1252.90	1247.70000	1249.60000	1256.70000				2.23	-1.01
	141.45	1253.10	1247.80000	1249.70000	1256.80000				2.43	-1.06
	141.46	1253.20	1247.90000	1249.80000	1256.90000				2.17	-1.10
	141.47	1253.30	1248.00000	1249.90000	1257.10000				2.13	-1.26
	141.48	1253.50	1248.10000	1250.00000	1257.20000				2.17	-1.04
	141.49	1253.60	1248.20000	1250.10000	1257.30000				2.17	-1.07
	141.50	1253.70	1248.30000	1250.20000	1257.40000				2.02	-1.20
	141.51	1253.90	1248.40000	1250.30000	1257.60000				2.19	-0.97
	141.52	1254.00	1248.50000	1250.50000	1257.70000				2.14	-1.00
	141.53	1254.10	1248.60000	1250.60000	1257.80000				2.21	-1.24
	141.54	1254.30	1248.80000	1250.70000	1257.90000				2.01	-1.16
	141.55	1254.40	1248.90000	1250.80000	1258.10000				2.09	-1.17
	141.56	1254.50	1249.00000	1250.90000	1258.20000				2.10	-1.03
	141.57	1254.70	1249.10000	1251.00000	1258.30000				1.96	-1.04
	141.58	1254.80	1249.20000	1251.10000	1258.40000				1.80	-1.15
	141.59	1254.90	1249.30000	1251.20000	1258.60000				2.13	-0.97
	141.60	1255.10	1249.40000	1251.30000	1258.70000				1.85	-1.20
	141.61	1255.20	1249.50000	1251.50000	1258.80000				1.83	-1.25
	141.62	1255.30	1249.60000	1251.60000	1259.00000				1.99	-1.03
	141.63	1255.40	1249.70000	1251.70000	1259.10000				1.96	-1.06
	141.64	1255.60	1249.80000	1251.80000	1259.20000				1.98	-1.05
	141.65	1255.70	1249.90000	1251.90000	1259.30000				1.89	-1.26
	141.66	1255.80	1250.00000	1252.00000	1259.50000				1.88	-0.84
	141.67	1256.00	1250.10000	1252.10000	1259.60000				1.68	-1.15
	141.68	1256.10	1250.20000	1252.20000	1259.70000				1.73	-1.18
	141.69	1256.20	1250.30000	1252.30000	1259.80000				1.75	-1.18
	141.70	1256.40	1250.40000	1252.40000	1260.00000				1.51	-1.19
	141.71	1256.50	1250.50000	1252.60000	1260.10000				1.73	-1.41
	141.72	1256.60	1250.60000	1252.70000	1260.20000				1.85	-1.49
	141.73	1256.80	1250.70000	1252.80000	1260.30000				1.75	-1.14
	141.74	1256.90	1250.80000	1252.90000	1260.50000				1.65	-1.25
	141.75	1257.00	1250.90000	1253.00000	1260.60000				1.70	-1.26
	141.76	1257.20	1251.00000	1253.10000	1260.70000				1.70	-1.45
	141.77	1257.30	1251.10000	1253.20000	1260.80000				1.77	-1.15
	141.78	1257.40	1251.20000	1253.30000	1261.00000				1.67	-1.03
	141.79	1257.60	1251.30000	1253.40000	1261.10000				1.63	-1.06
	141.80	1257.70	1251.40000	1253.60000	1261.20000				1.48	-1.08
	141.81	1257.80	1251.50000	1253.70000	1261.40000				1.51	-1.24
	141.82	1258.00	1251.60000	1253.80000	1261.50000				1.49	-0.91
	141.83	1258.10	1251.70000	1253.90000	1261.60000				1.46	-1.29
	141.84	1258.20	1251.80000	1254.00000	1261.70000				1.55	-1.07
	141.85	1258.40	1252.00000	1254.10000	1261.90000				1.55	-1.21
	141.86	1258.50	1252.10000	1254.10000	1262.00000				1.26	-1.20
	141.87	1258.60	1252.20000	1254.20000	1262.10000				1.61	-1.22
	141.88	1258.80	1252.30000	1254.30000	1262.20000				1.38	-1.29
	141.89	1258.90	1252.40000	1254.40000	1262.40000				1.32	-1.42
	141.90	1259.00	1252.50000	1254.40000	1262.50000				1.37	-1.40
	141.91	1259.20	1252.60000	1254.50000	1262.60000				1.30	-1.15
	141.92	1259.30	1252.70000	1254.60000	1262.70000				1.42	-1.11
	141.93	1259.40	1252.80000	1254.70000	1262.90000				1.22	-1.32
	141.94	1259.60	1252.90000	1254.70000	1263.00000				1.14	-1.15
	141.95	1259.70	1253.00000	1254.80000	1263.10000				1.27	-1.25
	141.96	1259.80	1253.10000	1254.90000	1263.20000				1.34	-1.40
	141.97	1260.00	1253.20000	1254.90000	1263.40000				1.36	-1.32
	141.98	1260.10	1253.30000	1255.00000	1263.50000				1.65	-1.22
	141.99	1260.20	1253.40000	1255.10000	1263.60000				2.10	-0.90
	142.00	1260.40	1253.50000	1255.20000	1263.70000				2.10	-0.89
	142.01	1260.50	1253.60000	1255.20000	1263.90000				1.66	-1.34
	142.02	1260.60	1253.70000	1255.30000	1264.00000				1.66	-1.15
	142.03	1260.80	1253.80000	1255.40000	1264.10000				1.74	-1.07
	142.04	1260.80	1253.90000	1255.40000	1264.10000				1.80	-0.81
	142.05	1260.90	1254.00000	1255.50000	1264.20000				1.32	-1.32
	142.06	1261.00	1254.10000	1255.60000	1264.30000				1.66	-1.38
	142.07	1261.10	1254.20000	1255.70000	1264.40000				1.64	-1.23
	142.08	1261.10	1254.30000	1255.70000	1264.40000				1.38	-1.22
	142.09	1261.20	1254.40000	1255.80000	1264.50000				1.36	-1.02
	142.10	1261.30	1254.50000	1255.90000	1264.60000				1.27	-1.10
	142.11	1261.40	1254.60000	1256.00000	1264.70000				1.30	-1.25
	142.12	1261.40	1254.70000	1256.00000	1264.70000				1.19	-1.03
	142.13	1261.50	1254.80000	1256.10000	1264.80000				1.14	-1.15
	142.14	1261.60	1254.90000	1256.20000	1264.90000				1.08	-1.08
	142.15	1261.70	1255.00000	1256.20000	1264.90000				1.19	-0.99
	142.16	1261.80	1255.10000	1256.30000	1265.00000				1.36	-0.91
	142.17	1261.80	1255.30000	1256.40000	1265.10000				1.32	-1.15
	142.18	1261.90	1255.40000	1256.50000	1265.20000				1.40	-1.39
	142.19	1262.00	1255.50000	1256.50000	1265.20000				1.12	-1.18
	142.20	1262.10	1255.60000	1256.60000	1265.30000				1.25	-1.18
	142.21	1262.10	1255.70000	1256.70000	1265.40000				0.99	-1.21
	142.22	1262.20	1255.80000	1256.80000	1265.50000				1.34	-0.93
	142.23	1262.30	1255.90000	1256.80000	1265.50000				0.88	-1.11
	142.24	1262.40	1256.00000	1256.90000	1265.60000				0.91	-1.08
	142.25	1262.50	1256.10000	1257.00000	1265.70000				0.73	-1.16
	142.26	1262.50	1256.20000	1257.00000	1265.70000				1.01	-1.17
	142.27	1262.60	1256.30000	1257.10000	1265.80000				1.00	-1.11
	142.28	1262.70	1256.40000	1257.20000	1265.90000				1.28	-1.09
	142.29	1262.80	1256.50000	1257.30000	1266.00000				1.14	-0.99
	142.30	1262.80	1256.60000	1257.30000	1266.00000				1.85	-0.82
	142.30	1262.80	1256.60000	1257.30000	1266.00000				1.91	-0.75
	142.31	1262.90	1256.70000	1257.40000	1266.10000				1.85	-0.87
	142.32	1263.00	1256.80000	1257.50000	1266.20000				2.10	-0.72
	142.33	1263.10	1256.90000	1257.60000	1266.30000				1.88	-0.84
	142.34	1263.20	1257.00000	1257.60000	1266.30000				1.47	-0.92
	142.34	1263.20	1257.00000	1257.60000	1266.30000				1.80	-1.05
	142.35	1263.20	1257.10000	1257.70000	1266.40000				1.88	-0.64
	142.36	1263.30	1257.20000	1257.80000	1266.50000				1.80	-0.74
	142.37	1263.40	1257.30000	1257.80000	1266.50000				2.13	-0.53
	142.38	1263.50	1257.40000	1257.90000	1266.60000				2.07	-0.70
	142.39	1263.50	1257.50000	1258.00000	1266.70000				2.07	-0.57
	142.40	1263.60	1257.60000	1258.10000	1266.80000				1.95	-0.52
	142.41	1263.70	1257.70000	1258.10000	1266.80000				1.95	-0.68
	142.42	1263.80	1257.80000	1258.20000	1266.90000				2.10	-0.45
	142.43	1263.90	1257.90000	1258.30000	1267.00000				2.09	-0.58
	142.44	1263.90	1258.00000	1258.30000	1267.00000				1.99	-0.54
	142.45	1264.00	1258.10000	1258.40000	1267.10000				2.03	-0.48
	142.46	1264.10	1258.20000	1258.50000	1267.20000				2.05	-0.42
	142.47	1264.20	1258.30000	1258.60000	1267.30000				2.14	-0.41
	142.48	1264.20	1258.50000	1258.60000	1267.30000				2.01	-0.57
	142.49	1264.30	1258.60000	1258.70000	1267.40000				1.70	-0.64
	142.50	1264.40	1258.70000	1258.80000	1267.50000				1.27	-0.77
	142.51	1264.50	1258.80000	1258.90000	1267.60000				1.30	-0.81
	142.52	1264.60	1258.90000	1258.90000	1267.60000				1.84	-0.43
	142.53	1264.60	1259.00000	1259.00000	1267.70000				1.80	-0.39
	142.54	1264.70	1259.10000	1259.10000	1267.80000				1.95	-0.46
	142.55	1264.80	1259.20000	1259.10000	1267.80000				1.42	-0.61
	142.56	1264.90	1259.30000	1259.20000	1267.90000				1.59	-0.45
	142.57	1264.90	1259.40000	1259.30000	1268.00000				1.99	-0.21
	142.58	1265.00	1259.50000	1259.40000	1268.10000				2.12	-0.15
	142.59	1265.10	1259.60000	1259.40000	1268.10000				1.98	-0.33
	142.60	1265.20	1259.70000	1259.50000	1268.20000				2.01	-0.26
	142.61	1265.30	1259.80000	1259.60000	1268.30000				2.27	-0.20
	142.62	1265.30	1259.90000	1259.70000	1268.40000				2.35	-0.15
	142.63	1265.40	1260.00000	1259.70000	1268.40000				2.24	-0.04
	142.64	1265.50	1260.10000	1259.80000	1268.50000				2.10	-0.46
	142.65	1265.60	1260.20000	1259.90000	1268.60000				2.01	-0.35
	142.66	1265.60	1260.30000	1259.90000	1268.60000				2.04	-0.37
	142.67	1265.70	1260.40000	1260.00000	1268.70000				1.51	-0.51
	142.68	1265.80	1260.50000	1260.10000	1268.80000				1.48	-0.59
	142.69	1265.90	1260.60000	1260.20000	1268.90000				1.72	-0.78
	142.70	1265.90	1260.70000	1260.20000	1268.90000				1.80	-0.46
	142.71	1266.00	1260.80000	1260.30000	1269.00000				1.83	-0.51
	142.72	1266.10	1260.90000	1260.40000	1269.10000				1.81	-0.47
	142.74	1266.30	1261.10000	1260.50000	1269.20000				1.40	-0.71
	142.75	1266.30	1261.20000	1260.60000	1269.30000				1.20	-0.54
	142.76	1266.40	1261.30000	1260.70000	1269.40000				1.07	-0.49
	142.77	1266.50	1261.40000	1260.70000	1269.40000				1.29	-0.56
	142.78	1266.60	1261.50000	1260.80000	1269.50000				1.66	-0.48
	142.79	1266.60	1261.60000	1260.90000	1269.60000				1.88	-0.29
	142.80	1266.70	1261.80000	1261.00000	1269.70000				1.99	-0.15
	142.81	1266.80	1261.90000	1261.00000	1269.70000				2.10	-0.24
	142.82	1266.90	1262.00000	1261.10000	1269.80000				2.02	-0.32
	142.83	1267.00	1262.10000	1261.20000	1269.90000				1.78	-0.40
	142.84	1267.00	1262.20000	1261.20000	1270.00000				1.97	-0.18
	142.85	1267.10	1262.30000	1261.30000	1270.00000				1.44	-0.56
	142.86	1267.20	1262.40000	1261.40000	1270.10000				1.66	-0.48
	142.87	1267.30	1262.50000	1261.50000	1270.20000				1.68	-0.57
	142.88	1267.30	1262.60000	1261.50000	1270.20000				1.56	-0.50
	142.89	1267.40	1262.70000	1261.60000	1270.30000				1.83	-0.44
	142.90	1267.50	1262.80000	1261.70000	1270.40000				1.81	-0.43
	142.91	1267.60	1262.90000	1261.80000	1270.50000				1.37	-0.46
	142.92	1267.70	1263.00000	1261.80000	1270.50000				1.45	-0.37
	142.93	1267.70	1263.10000	1261.90000	1270.60000				1.17	-0.81
	142.94	1267.80	1263.20000	1262.00000	1270.70000				1.28	-0.57
	142.95	1267.90	1263.30000	1262.00000	1270.80000				1.32	-0.65
	142.96	1268.00	1263.40000	1262.10000	1270.80000				1.08	-0.68
	142.97	1268.00	1263.50000	1262.20000	1270.90000				1.42	-0.48
	142.98	1268.10	1263.60000	1262.30000	1271.00000				1.23	-0.34
	142.99	1268.20	1263.70000	1262.30000	1271.00000				1.87	-0.29
	143.00	1268.30	1263.80000	1262.40000	1271.10000				1.61	-0.40
	143.01	1268.40	1263.90000	1262.50000	1271.20000				1.30	-0.37
	143.02	1268.40	1264.00000	1262.60000	1271.30000				1.30	-0.54
	143.03	1268.50	1264.10000	1262.60000	1271.30000				1.26	-0.62
	143.04	1268.60	1264.20000	1262.70000	1271.40000				1.14	-0.87
	143.05	1268.70	1264.30000	1262.80000	1271.50000				1.32	-0.65
	143.06	1268.70	1264.40000	1262.80000	1271.60000				1.34	-0.50
	143.07	1268.80	1264.50000	1262.90000	1271.60000				0.97	-0.62
	143.08	1268.90	1264.60000	1263.00000	1271.70000				1.06	-0.56
	143.09	1269.00	1264.70000	1263.10000	1271.80000				0.95	-0.61
	143.10	1269.10	1264.80000	1263.10000	1271.80000				0.84	-0.64
	143.11	1269.10	1264.90000	1263.20000	1271.90000				1.09	-0.63
	143.12	1269.20	1265.10000	1263.30000	1272.00000				1.03	-0.52
	143.13	1269.30	1265.20000	1263.30000	1272.10000				1.07	-0.40
	143.14	1269.40	1265.30000	1263.40000	1272.10000				1.10	-0.59
	143.15	1269.40	1265.40000	1263.50000	1272.20000				1.09	-0.48
	143.16	1269.50	1265.50000	1263.60000	1272.30000				1.15	-0.49
	143.17	1269.60	1265.60000	1263.60000	1272.30000				1.00	-0.61
	143.18	1269.70	1265.70000	1263.70000	1272.40000				1.07	-0.66
	143.19	1269.80	1265.80000	1263.80000	1272.50000				1.23	-0.49
